file,optimum,bnb_cost,bnb_time,bnb_mem,bnb_ratio,tat_cost,tat_time,tat_mem,tat_ratio,christ_cost,christ_time,christ_mem,christ_ratio
pr439,107217,NA,NA,NA,NA,144624.15787804432,0.4485330581665039,39406.9521484375,1.3489,119532.0359030051,3.232973098754883,39258.69140625,1.1149
pla7397,23260728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gr96,55209,NA,NA,NA,NA,674.5489371047819,0.02206897735595703,1869.328125,0.0122,555.5352059440279,0.08999419212341309,1867.451171875,0.0101
rd100,7910,NA,NA,NA,NA,10791.655815950702,0.024010896682739258,2008.625,1.3643,8905.492431142618,0.23531103134155273,2066.029296875,1.1259
rl5934,556045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pcb442,50778,NA,NA,NA,NA,69364.90250618651,0.47979211807250977,39888.53515625,1.366,54876.77363889552,6.386257886886597,39888.78515625,1.0807
u2319,234256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gil262,2378,NA,NA,NA,NA,3358.1541767582894,0.1467268466949463,12789.88671875,1.4122,2695.15432713288,1.443617820739746,12789.30859375,1.1334
pcb3038,137694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lin105,14379,NA,NA,NA,NA,19498.408788813624,0.026073932647705078,2188.828125,1.356,16323.675799681514,0.14497923851013184,2104.748046875,1.1352
fl417,11861,NA,NA,NA,NA,16297.174640391935,0.40787315368652344,35787.87890625,1.374,13424.734306822817,3.0846049785614014,35645.71484375,1.1318
tsp225,3916,NA,NA,NA,NA,5115.932581284439,0.13223981857299805,9679.609375,1.3064,4376.002889600349,0.7021458148956299,9679.84375,1.1175
fl1400,20127,NA,NA,NA,NA,27915.52347719665,5.403811931610107,430054.31640625,1.387,NA,NA,NA,NA
nrw1379,56638,NA,NA,NA,NA,79156.2650653691,6.121248006820679,418823.55859375,1.3976,NA,NA,NA,NA
d2103,80450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kroA150,26524,NA,NA,NA,NA,35122.56680105931,0.0509641170501709,4147.7421875,1.3242,29688.31634111598,0.46341609954833984,4039.935546875,1.1193
pcb1173,56892,NA,NA,NA,NA,80694.8928627429,3.722368001937866,273037.19921875,1.4184,NA,NA,NA,NA
d198,15780,NA,NA,NA,NA,19218.43305436619,0.08696603775024414,7834.78125,1.2179,17316.366440499645,0.737799882888794,7835.0390625,1.0974
fl1577,22249,NA,NA,NA,NA,31223.096666973648,6.923865795135498,531266.66015625,1.4033,NA,NA,NA,NA
gr666,294358,NA,NA,NA,NA,4060.6893485927026,1.0512259006500244,85529.33203125,0.0138,NA,NA,NA,NA
ch130,6110,NA,NA,NA,NA,8128.757281130948,0.05127286911010742,3196.3671875,1.3304,6752.275865213126,0.20393872261047363,3053.921875,1.1051
kroB100,22141,NA,NA,NA,NA,25881.199893685625,0.02298593521118164,2008.4765625,1.1689,24009.194442252865,0.10182714462280273,1956.021484375,1.0844
u1060,224094,NA,NA,NA,NA,302914.8663669418,173.44261288642883,226338.42578125,1.3517,NA,NA,NA,NA
berlin52,7542,NA,NA,NA,NA,10116.014495510826,0.007891178131103516,541.5,1.3413,8594.034943788782,0.03171706199645996,599.755859375,1.1395
eil51,426,NA,NA,NA,NA,640.9012229251007,0.007339000701904297,524.078125,1.5045,486.82490388532386,0.031222105026245117,605.232421875,1.1428
rl1304,252948,NA,NA,NA,NA,347782.57034149766,4.938482999801636,332456.38671875,1.3749,NA,NA,NA,NA
u2152,64253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
